Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
WOODS SQUARE,"2,175,424","1,044.11","2,084",15 Jun 2022,12 WOODLANDS SQUARE #07-81,Resale,Strata,97,"22,427",Office,99 yrs from 15/07/2014,25,73,737715,North Region,Woodlands
PAYA LEBAR SQUARE,"4,361,700","2,077.45","2,100",16 Jun 2022,60 PAYA LEBAR ROAD #10-29,Resale,Strata,193,"22,599",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,"1,000,000",484.38,"2,064",17 Jun 2022,60 PAYA LEBAR ROAD #11-22,Resale,Strata,45,"22,222",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
WOODS SQUARE,"1,820,520",936.47,"1,944",17 Jun 2022,12 WOODLANDS SQUARE #06-74,Resale,Strata,87,"20,926",Office,99 yrs from 15/07/2014,25,73,737715,North Region,Woodlands
BUKIT TIMAH SHOPPING CENTRE,"762,500",182.99,"4,167",17 Jun 2022,170 UPPER BUKIT TIMAH ROAD #02-58,Resale,Strata,17,"44,853",Office,999 yrs from 17/12/1883,21,58,588179,Central Region,Bukit Timah
SOHO LIFE,"650,000",398.27,"1,632",21 Jun 2022,216 JOO CHIAT ROAD #02-22,Resale,Strata,37,"17,568",Office,Freehold,15,42,427483,Central Region,Geylang
MANHATTAN HOUSE,"650,000",527.44,"1,232",22 Jun 2022,151 CHIN SWEE ROAD #14-15,Resale,Strata,49,"13,265",Office,99 yrs from 15/10/1969,03,16,169876,Central Region,Outram
MANHATTAN HOUSE,"550,000",441.32,"1,246",22 Jun 2022,151 CHIN SWEE ROAD #14-16,Resale,Strata,41,"13,415",Office,99 yrs from 15/10/1969,03,16,169876,Central Region,Outram
WIS@CHANGI,"850,000",699.66,"1,215",23 Jun 2022,116 CHANGI ROAD #03-11,Resale,Strata,65,"13,077",Office,Freehold,14,41,419718,Central Region,Geylang
SOHO LIFE,"550,000",355.21,"1,548",23 Jun 2022,216 JOO CHIAT ROAD #03-01,Resale,Strata,33,"16,667",Office,Freehold,15,42,427483,Central Region,Geylang
BUKIT TIMAH SHOPPING CENTRE,"1,900,000","1,248.62","1,522",23 Jun 2022,170 UPPER BUKIT TIMAH ROAD #18-03,Resale,Strata,116,"16,379",Office,999 yrs from 17/12/1883,21,58,588179,Central Region,Bukit Timah
THE CENTRAL,"2,913,900",882.65,"3,301",24 Jun 2022,8 EU TONG SEN STREET #18-91,Resale,Strata,82,"35,535",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
THE CENTRAL,"1,488,000",635.08,"2,343",27 Jun 2022,12 EU TONG SEN STREET #07-171,Resale,Strata,59,"25,220",Office,99 yrs from 02/01/2001,01,05,059819,Central Region,Singapore River
VISION EXCHANGE,"2,805,000","1,313.21","2,136",27 Jun 2022,2 VENTURE DRIVE #09-23,Resale,Strata,122,"22,992",Office,99 yrs from 10/06/2013,22,60,608526,West Region,Jurong East
PAYA LEBAR SQUARE,"880,000",505.91,"1,739",28 Jun 2022,60 PAYA LEBAR ROAD #07-42,Resale,Strata,47,"18,723",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
THE PLAZA,"1,027,000",678.13,"1,514",29 Jun 2022,7500A BEACH ROAD #04-306,Resale,Strata,63,"16,302",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Downtown Core
THE PLAZA,"510,000",312.16,"1,634",29 Jun 2022,7500A BEACH ROAD #04-310,Resale,Strata,29,"17,586",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Downtown Core
PEOPLE'S PARK COMPLEX,"1,800,000",602.78,"2,986",29 Jun 2022,1 PARK ROAD #03-04,Resale,Strata,56,"32,143",Office,99 yrs from 25/03/1968,01,05,059108,Central Region,Outram
TEXTILE CENTRE,"1,350,000","1,065.64","1,267",30 Jun 2022,200 JALAN SULTAN #02-43,Resale,Strata,99,"13,636",Office,99 yrs from 02/06/1970,07,19,199018,Central Region,Kallang
THE CENTRAL,"1,650,000",645.84,"2,555",30 Jun 2022,8 EU TONG SEN STREET #19-87,Resale,Strata,60,"27,500",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
TAHIR BUILDING,"2,070,000",645.84,"3,205",30 Jun 2022,140 ROBINSON ROAD #10-02,Resale,Strata,60,"34,500",Office,Freehold,01,06,068907,Central Region,Downtown Core
CENTRIUM SQUARE,"2,750,000",990.29,"2,777",01 Jul 2022,320 SERANGOON ROAD #11-01,Resale,Strata,92,"29,891",Office,Freehold,08,21,218108,Central Region,Kallang
THE CENTRAL,"1,820,000",645.84,"2,818",01 Jul 2022,8 EU TONG SEN STREET #23-87,Resale,Strata,60,"30,333",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
THE CENTRAL,"2,398,000",861.12,"2,785",01 Jul 2022,8 EU TONG SEN STREET #19-82,Resale,Strata,80,"29,975",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
THE CENTRAL,"1,776,500",635.08,"2,797",01 Jul 2022,8 EU TONG SEN STREET #19-83,Resale,Strata,59,"30,110",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
STUDIO8,"660,000",365.98,"1,803",01 Jul 2022,8 JALAN AYER #02-01,Resale,Strata,34,"19,412",Office,Freehold,14,38,389144,Central Region,Kallang
PLUS,"3,688,830","1,227.1","3,006",04 Jul 2022,20 CECIL STREET #06-03,Resale,Strata,114,"32,358",Office,99 yrs from 07/12/1989,01,04,049705,Central Region,Downtown Core
PLUS,"3,141,170","1,044.11","3,008",04 Jul 2022,20 CECIL STREET #06-04,Resale,Strata,97,"32,383",Office,99 yrs from 07/12/1989,01,04,049705,Central Region,Downtown Core
HIGH STREET PLAZA,"836,356",398.27,"2,100",04 Jul 2022,77 HIGH STREET #07-13,Resale,Strata,37,"22,604",Office,999 yrs from 11/06/1827,06,17,179433,Central Region,Downtown Core
INTERNATIONAL PLAZA,"1,356,000",678.13,"2,000",04 Jul 2022,10 ANSON ROAD #27-06B,Resale,Strata,63,"21,524",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
THE ADELPHI,"5,500,000","2,034.4","2,704",06 Jul 2022,1 COLEMAN STREET #07-06,Resale,Strata,189,"29,101",Office,999 yrs from 12/05/1828,06,17,179803,Central Region,Downtown Core
THE PLAZA,"900,000",548.96,"1,639",07 Jul 2022,7500A BEACH ROAD #11-312,Resale,Strata,51,"17,647",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Downtown Core
BURLINGTON SQUARE,"1,190,000",699.66,"1,701",12 Jul 2022,175A BENCOOLEN STREET #07-05,Resale,Strata,65,"18,308",Office,99 yrs from 10/06/1996,07,18,189650,Central Region,Rochor
PARKLANE SHOPPING MALL,"850,000",667.37,"1,274",12 Jul 2022,35 SELEGIE ROAD #09-07,Resale,Strata,62,"13,710",Office,99 yrs from 01/12/1974,07,18,188307,Central Region,Rochor
HAVELOCK2,"1,166,000",624.31,"1,868",14 Jul 2022,2 HAVELOCK ROAD #06-07,Resale,Strata,58,"20,103",Office,99 yrs from 04/05/1983,01,05,059763,Central Region,Singapore River
HAVELOCK2,"2,580,000","1,603.84","1,609",20 Jul 2022,2 HAVELOCK ROAD #05-15,Resale,Strata,149,"17,315",Office,99 yrs from 04/05/1983,01,05,059763,Central Region,Singapore River
PEOPLE'S PARK COMPLEX,"480,000",161.46,"2,973",20 Jul 2022,1 PARK ROAD #03-K69,Resale,Strata,15,"32,000",Office,99 yrs from 25/03/1968,01,05,059108,Central Region,Outram
15 SCOTTS,"8,628,214","2,163.56","3,988",20 Jul 2022,"15 SCOTTS ROAD #06-04,05",Resale,Strata,201,"42,926",Office,Freehold,09,22,228218,Central Region,Orchard
MMI BUILDING,"39,000,000","2,325.02","16,774",20 Jul 2022,"70,72 SOUTH BRIDGE ROAD",Resale,Land,216,"180,556",Office,Freehold,01,05,058702,Central Region,Singapore River
PLUS,"4,449,000","1,323.97","3,360",21 Jul 2022,20 CECIL STREET #23-09,Resale,Strata,123,"36,171",Office,99 yrs from 07/12/1989,01,04,049705,Central Region,Downtown Core
ARC 380,"1,740,000",699.66,"2,487",21 Jul 2022,380 JALAN BESAR #07-02,Resale,Strata,65,"26,769",Office,Freehold,08,20,209000,Central Region,Kallang
THE MODULES,"880,000",473.62,"1,858",22 Jul 2022,387 JOO CHIAT ROAD #02-06,Resale,Strata,44,"20,000",Office,Freehold,15,42,427623,Central Region,Marine Parade
SOUTHBANK,"938,000",462.85,"2,027",25 Jul 2022,883 NORTH BRIDGE ROAD #06-02,Resale,Strata,43,"21,814",Office,99 yrs from 27/01/2006,07,19,198785,Central Region,Kallang
PAYA LEBAR SQUARE,"960,000",484.38,"1,982",25 Jul 2022,60 PAYA LEBAR ROAD #07-28,Resale,Strata,45,"21,333",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PEOPLE'S PARK COMPLEX,"550,000",161.46,"3,406",25 Jul 2022,1 PARK ROAD #03-K73,Resale,Strata,15,"36,667",Office,99 yrs from 25/03/1968,01,05,059108,Central Region,Outram
GIFFARD MANSIONS,"696,000",505.91,"1,376",26 Jul 2022,424 BALESTIER ROAD #02-09,Resale,Strata,47,"14,809",Office,Freehold,12,32,329810,Central Region,Novena
THE CENTRAL,"1,568,000",635.08,"2,469",27 Jul 2022,12 EU TONG SEN STREET #08-164,Resale,Strata,59,"26,576",Office,99 yrs from 02/01/2001,01,05,059819,Central Region,Singapore River
THE SUNFLOWER,"790,000",602.78,"1,311",28 Jul 2022,510 GEYLANG ROAD #04-04,Resale,Strata,56,"14,107",Office,Freehold,14,38,389466,Central Region,Geylang
N.A.,"9,000,000","1,533.87","5,868",28 Jul 2022,60 SOUTH BRIDGE ROAD,Resale,Land,142.5,"63,158",Office,99 yrs from 01/10/1951,01,05,058690,Central Region,Singapore River
SAMSUNG HUB,"53,099,550","13,110.55","4,050",28 Jul 2022,"3 CHURCH STREET #08-01,02,03,04",Resale,Strata,"1,218","43,596",Office,999 yrs from 25/01/1827,01,04,049483,Central Region,Downtown Core
SBF CENTER,"2,640,000",753.48,"3,504",28 Jul 2022,160 ROBINSON ROAD #26-05,Resale,Strata,70,"37,714",Office,99 yrs from 21/12/2011,01,06,068914,Central Region,Downtown Core
PLUS,"10,513,000","3,552.12","2,960",29 Jul 2022,"20 CECIL STREET #04-07,08,09",Resale,Strata,330,"31,858",Office,99 yrs from 07/12/1989,01,04,049705,Central Region,Downtown Core
SUNTEC TOWER TWO,"10,438,000","2,927.81","3,565",01 Aug 2022,9 TEMASEK BOULEVARD #37-03,Resale,Strata,272,"38,375",Office,99 yrs from 01/03/1989,01,03,038989,Central Region,Downtown Core
INTERNATIONAL PLAZA,"1,042,000",473.62,"2,200",01 Aug 2022,10 ANSON ROAD #11-13,Resale,Strata,44,"23,682",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
VISION EXCHANGE,"18,082,000","7,868.48","2,298",02 Aug 2022,2 VENTURE DRIVE #20-15 - 22,Resale,Strata,731,"24,736",Office,99 yrs from 10/06/2013,22,60,608526,West Region,Jurong East
WOODS SQUARE,"1,094,266",559.73,"1,955",02 Aug 2022,12 WOODLANDS SQUARE #05-84,Resale,Strata,52,"21,044",Office,99 yrs from 15/07/2014,25,73,737715,North Region,Woodlands
SOUTHBANK,"1,080,000",527.44,"2,048",02 Aug 2022,883 NORTH BRIDGE ROAD #06-03,Resale,Strata,49,"22,041",Office,99 yrs from 27/01/2006,07,19,198785,Central Region,Kallang
SUNTEC TOWER ONE,"13,439,880","4,036.5","3,330",04 Aug 2022,7 TEMASEK BOULEVARD #29-02,Resale,Strata,375,"35,840",Office,99 yrs from 01/03/1989,01,03,038987,Central Region,Downtown Core
SUNTEC TOWER THREE,"7,942,400","2,335.79","3,400",05 Aug 2022,8 TEMASEK BOULEVARD #40-03,Resale,Strata,217,"36,601",Office,99 yrs from 01/03/1989,01,03,038988,Central Region,Downtown Core
PLUS,"6,735,000","2,368.08","2,844",05 Aug 2022,"20 CECIL STREET #05-07,08",Resale,Strata,220,"30,614",Office,99 yrs from 07/12/1989,01,04,049705,Central Region,Downtown Core
VISION EXCHANGE,"1,398,000",839.59,"1,665",08 Aug 2022,2 VENTURE DRIVE #09-10,Resale,Strata,78,"17,923",Office,99 yrs from 10/06/2013,22,60,608526,West Region,Jurong East
SBF CENTER,"2,210,000",678.13,"3,259",10 Aug 2022,160 ROBINSON ROAD #24-11,Resale,Strata,63,"35,079",Office,99 yrs from 21/12/2011,01,06,068914,Central Region,Downtown Core
SOHO LIFE,"680,000",409.03,"1,662",11 Aug 2022,216 JOO CHIAT ROAD #05-21,Resale,Strata,38,"17,895",Office,Freehold,15,42,427483,Central Region,Geylang
PLUS,"7,166,000","2,271.2","3,155",11 Aug 2022,"20 CECIL STREET #09-03,04",Resale,Strata,211,"33,962",Office,99 yrs from 07/12/1989,01,04,049705,Central Region,Downtown Core
PLUS,"2,217,000",785.77,"2,821",16 Aug 2022,20 CECIL STREET #05-10,Resale,Strata,73,"30,370",Office,99 yrs from 07/12/1989,01,04,049705,Central Region,Downtown Core
SUNTEC TOWER TWO,"41,148,050","12,281.72","3,350",16 Aug 2022,9 TEMASEK BOULEVARD #31-03,Resale,Strata,"1,141","36,063",Office,99 yrs from 01/03/1989,01,03,038989,Central Region,Downtown Core
SOHO LIFE,"555,000",344.45,"1,611",18 Aug 2022,216 JOO CHIAT ROAD #03-12,Resale,Strata,32,"17,344",Office,Freehold,15,42,427483,Central Region,Geylang
PS100,"1,250,000",473.62,"2,639",19 Aug 2022,100 PECK SEAH STREET #11-04,Resale,Strata,44,"28,409",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
THE CENTRAL,"1,510,000",581.26,"2,598",22 Aug 2022,6 EU TONG SEN STREET #11-02,Resale,Strata,54,"27,963",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
SBF CENTER,"2,020,000",624.31,"3,236",22 Aug 2022,160 ROBINSON ROAD #16-09,Resale,Strata,58,"34,828",Office,99 yrs from 21/12/2011,01,06,068914,Central Region,Downtown Core
SUNTEC TOWER ONE,"11,691,000","3,896.57","3,000",23 Aug 2022,7 TEMASEK BOULEVARD #18-03,Resale,Strata,362,"32,296",Office,99 yrs from 01/03/1989,01,03,038987,Central Region,Downtown Core
111 SOMERSET,"2,600,000",925.7,"2,809",25 Aug 2022,111 SOMERSET ROAD #06-03,Resale,Strata,86,"30,233",Office,99 yrs from 19/02/1975,09,23,238164,Central Region,Orchard
THE ADELPHI,"11,316,000","4,208.72","2,689",29 Aug 2022,1 COLEMAN STREET #08-01,Resale,Strata,391,"28,941",Office,999 yrs from 12/05/1828,06,17,179803,Central Region,Downtown Core
CENTROPOD @ CHANGI,"350,000",139.93,"2,501",30 Aug 2022,80 CHANGI ROAD #01-11,Resale,Strata,13,"26,923",Office,Freehold,14,41,419715,Central Region,Geylang
PRUDENTIAL TOWER,"4,760,486","1,399.32","3,402",31 Aug 2022,30 CECIL STREET #24-02,Resale,Strata,130,"36,619",Office,99 yrs from 15/01/1996,01,04,049712,Central Region,Downtown Core
INTERNATIONAL PLAZA,"2,649,246","1,367.03","1,938",31 Aug 2022,10 ANSON ROAD #16-11,Resale,Strata,127,"20,860",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
KENSINGTON SQUARE,"600,000",236.81,"2,534",31 Aug 2022,2 JALAN LOKAM #01-05,Resale,Strata,22,"27,273",Office,Freehold,19,53,537846,North East Region,Hougang
PAYA LEBAR SQUARE,"2,100,000","1,130.22","1,858",01 Sep 2022,60 PAYA LEBAR ROAD #07-08,Resale,Strata,105,"20,000",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
TEXTILE CENTRE,"1,144,640","1,022.58","1,119",01 Sep 2022,200 JALAN SULTAN #03-38,Resale,Strata,95,"12,049",Office,99 yrs from 02/06/1970,07,19,199018,Central Region,Kallang
INTERNATIONAL PLAZA,"1,850,000",936.47,"1,976",02 Sep 2022,10 ANSON ROAD #34-11,Resale,Strata,87,"21,264",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
THE PLAZA,"1,120,000",699.66,"1,601",05 Sep 2022,7500A BEACH ROAD #06-317,Resale,Strata,65,"17,231",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Downtown Core
PAYA LEBAR SQUARE,"1,168,000",548.96,"2,128",05 Sep 2022,60 PAYA LEBAR ROAD #10-16,Resale,Strata,51,"22,902",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
THE COMMERZE@IRVING,"500,000",333.68,"1,498",06 Sep 2022,1 IRVING PLACE #02-30,Resale,Strata,31,"16,129",Office,60 yrs from 26/09/2011,13,36,369546,Central Region,Toa Payoh
PLUS,"2,270,000",785.77,"2,889",07 Sep 2022,20 CECIL STREET #06-10,Resale,Strata,73,"31,096",Office,99 yrs from 07/12/1989,01,04,049705,Central Region,Downtown Core
UNITED HOUSE,"1,390,000",516.67,"2,690",08 Sep 2022,20 KRAMAT LANE #05-02,Resale,Strata,48,"28,958",Office,Freehold,09,22,228773,Central Region,Orchard
CHINATOWN POINT,"2,000,000","1,054.87","1,896",08 Sep 2022,133 NEW BRIDGE ROAD #14-02,Resale,Strata,98,"20,408",Office,99 yrs from 12/11/1980,01,05,059413,Central Region,Outram
EASTGATE,"2,000,000","1,162.51","1,720",09 Sep 2022,46 EAST COAST ROAD #09-06,Resale,Strata,108,"18,519",Office,Freehold,15,42,428766,Central Region,Marine Parade
CONCORDE SHOPPING CENTRE,"300,000",215.28,"1,394",09 Sep 2022,317 OUTRAM ROAD #02-51,Resale,Strata,20,"15,000",Office,99 yrs from 16/06/1980,03,16,169075,Central Region,Bukit Merah
VISION EXCHANGE,"1,415,000",839.59,"1,685",12 Sep 2022,2 VENTURE DRIVE #09-13,Resale,Strata,78,"18,141",Office,99 yrs from 10/06/2013,22,60,608526,West Region,Jurong East
VISION EXCHANGE,"1,835,000","1,097.93","1,671",12 Sep 2022,2 VENTURE DRIVE #09-14,Resale,Strata,102,"17,990",Office,99 yrs from 10/06/2013,22,60,608526,West Region,Jurong East
PAYA LEBAR SQUARE,"1,108,000",505.91,"2,190",13 Sep 2022,60 PAYA LEBAR ROAD #05-31,Resale,Strata,47,"23,574",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
VISION EXCHANGE,"1,075,000",516.67,"2,081",13 Sep 2022,2 VENTURE DRIVE #14-28,Resale,Strata,48,"22,396",Office,99 yrs from 10/06/2013,22,60,608526,West Region,Jurong East
THE CENTRAL,"1,650,000",645.84,"2,555",15 Sep 2022,6 EU TONG SEN STREET #11-13,Resale,Strata,60,"27,500",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
FENG MING BUILDING,"9,500,000","1,111.92","8,544",15 Sep 2022,288 JALAN BESAR,Resale,Land,103.3,"91,965",Office,999 yrs from 08/04/1919,08,20,208951,Central Region,Kallang
PS100,"1,050,000",419.8,"2,501",15 Sep 2022,100 PECK SEAH STREET #08-15,Resale,Strata,39,"26,923",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
HAVELOCK2,"1,200,000",635.08,"1,890",19 Sep 2022,2 HAVELOCK ROAD #06-01,Resale,Strata,59,"20,339",Office,99 yrs from 04/05/1983,01,05,059763,Central Region,Singapore River
HOA NAM BUILDING,"620,000",258.34,"2,400",21 Sep 2022,27 FOCH ROAD #03-07,Resale,Strata,24,"25,833",Office,Freehold,08,20,209264,Central Region,Kallang
HOA NAM BUILDING,"920,000",462.85,"1,988",22 Sep 2022,27 FOCH ROAD #02-02,Resale,Strata,43,"21,395",Office,Freehold,08,20,209264,Central Region,Kallang
CHINATOWN POINT,"4,474,800","2,486.48","1,800",23 Sep 2022,"133 NEW BRIDGE ROAD #25-03,04",Resale,Strata,231,"19,371",Office,99 yrs from 12/11/1980,01,05,059413,Central Region,Outram
WOODS SQUARE,"2,234,880","1,151.75","1,940",23 Sep 2022,12 WOODLANDS SQUARE #02-77,Resale,Strata,107,"20,887",Office,99 yrs from 15/07/2014,25,73,737715,North Region,Woodlands
SUNTEC TOWER ONE,"39,700,000","10,311.91","3,850",27 Sep 2022,"7 TEMASEK BOULEVARD #44-01,02",Resale,Strata,958,"41,441",Office,99 yrs from 01/03/1989,01,03,038987,Central Region,Downtown Core
PAYA LEBAR SQUARE,"1,115,000",538.2,"2,072",27 Sep 2022,60 PAYA LEBAR ROAD #13-10,Resale,Strata,50,"22,300",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
GEYLANG CONSERVATION AREA,"2,050,000","1,915.99","1,070",27 Sep 2022,259A GEYLANG ROAD,Resale,Strata,178,"11,517",Office,Freehold,14,38,389315,Central Region,Geylang
GEYLANG CONSERVATION AREA,"1,700,000","1,679.18","1,012",27 Sep 2022,257A GEYLANG ROAD,Resale,Strata,156,"10,897",Office,Freehold,14,38,389313,Central Region,Geylang
ROCCA BALESTIER,"650,000",409.03,"1,589",28 Sep 2022,221 BALESTIER ROAD #03-08,Resale,Strata,38,"17,105",Office,Freehold,12,32,329928,Central Region,Novena
CHINATOWN POINT,"4,474,800","2,486.48","1,800",29 Sep 2022,133 NEW BRIDGE ROAD #25-06,Resale,Strata,231,"19,371",Office,99 yrs from 12/11/1980,01,05,059413,Central Region,Outram
CHINATOWN POINT,"4,320,000","2,400.37","1,800",29 Sep 2022,133 NEW BRIDGE ROAD #25-09,Resale,Strata,223,"19,372",Office,99 yrs from 12/11/1980,01,05,059413,Central Region,Outram
ALEXANDRA CENTRAL,"650,000",161.46,"4,026",30 Sep 2022,321 ALEXANDRA ROAD #03-34,Resale,Strata,15,"43,333",Office,99 yrs from 05/03/2012,03,15,159971,Central Region,Bukit Merah
THE PLAZA,"535,000",387.5,"1,381",03 Oct 2022,7500A BEACH ROAD #04-319,Resale,Strata,36,"14,861",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Downtown Core
THE CENTRAL,"1,400,000",635.08,"2,204",04 Oct 2022,12 EU TONG SEN STREET #04-166,Resale,Strata,59,"23,729",Office,99 yrs from 02/01/2001,01,05,059819,Central Region,Singapore River
HAVELOCK2,"1,157,700",516.67,"2,241",05 Oct 2022,2 HAVELOCK ROAD #04-07,Resale,Strata,48,"24,119",Office,99 yrs from 04/05/1983,01,05,059763,Central Region,Singapore River
PAYA LEBAR SQUARE,"1,080,000",505.91,"2,135",06 Oct 2022,60 PAYA LEBAR ROAD #04-41,Resale,Strata,47,"22,979",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
INTERNATIONAL PLAZA,"2,550,000","1,313.21","1,942",06 Oct 2022,10 ANSON ROAD #22-08,Resale,Strata,122,"20,902",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
PLUS,"3,623,400","1,097.93","3,300",06 Oct 2022,20 CECIL STREET #23-08,Resale,Strata,102,"35,524",Office,99 yrs from 07/12/1989,01,04,049705,Central Region,Downtown Core
ORCHARD TOWERS,"2,050,000",958,"2,140",07 Oct 2022,400 ORCHARD ROAD #10-01,Resale,Strata,89,"23,034",Office,Freehold,09,23,238875,Central Region,Orchard
HIGH STREET PLAZA,"910,000",376.74,"2,415",07 Oct 2022,77 HIGH STREET #05-01,Resale,Strata,35,"26,000",Office,999 yrs from 11/06/1827,06,17,179433,Central Region,Downtown Core
CITY PLAZA,"950,000",215.28,"4,413",07 Oct 2022,810 GEYLANG ROAD #02-23,Resale,Strata,20,"47,500",Office,Freehold,14,40,409286,Central Region,Geylang
CENTROPOD @ CHANGI,"788,000",484.38,"1,627",10 Oct 2022,80 CHANGI ROAD #03-14,Resale,Strata,45,"17,511",Office,Freehold,14,41,419715,Central Region,Geylang
CHINATOWN POINT,"1,780,000","1,054.87","1,687",11 Oct 2022,133 NEW BRIDGE ROAD #09-03,Resale,Strata,98,"18,163",Office,99 yrs from 12/11/1980,01,05,059413,Central Region,Outram
KATONG PLAZA,"980,000",344.45,"2,845",12 Oct 2022,1 BROOKE ROAD #02-18,Resale,Strata,32,"30,625",Office,9999 yrs from 01/01/1980,15,42,429979,Central Region,Marine Parade
SIMS AVENUE CENTRE,"900,000",818.06,"1,100",12 Oct 2022,540 SIMS AVENUE #03-02,Resale,Strata,76,"11,842",Office,Freehold,14,38,387603,Central Region,Geylang
15 SCOTTS,"49,000,000","13,734.86","3,568",13 Oct 2022,"15 SCOTTS ROAD #04-01,02,03,04 ETC",Resale,Strata,"1,276","38,401",Office,Freehold,09,22,228218,Central Region,Orchard
PAYA LEBAR SQUARE,"1,328,000",635.08,"2,091",13 Oct 2022,60 PAYA LEBAR ROAD #04-01,Resale,Strata,59,"22,508",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,"1,008,000",484.38,"2,081",14 Oct 2022,60 PAYA LEBAR ROAD #10-28,Resale,Strata,45,"22,400",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
WOODS SQUARE,"3,112,888","1,603.84","1,941",17 Oct 2022,"12 WOODLANDS SQUARE #07-78,79",Resale,Strata,149,"20,892",Office,99 yrs from 15/07/2014,25,73,737715,North Region,Woodlands
WOODS SQUARE,"1,111,820",559.73,"1,986",17 Oct 2022,12 WOODLANDS SQUARE #07-83,Resale,Strata,52,"21,381",Office,99 yrs from 15/07/2014,25,73,737715,North Region,Woodlands
PENINSULA PLAZA,"1,080,000",441.32,"2,447",18 Oct 2022,111 NORTH BRIDGE ROAD #08-15,Resale,Strata,41,"26,341",Office,999 yrs from 29/10/1829,06,17,179098,Central Region,Downtown Core
PARKLANE SHOPPING MALL,"760,000",441.32,"1,722",18 Oct 2022,35 SELEGIE ROAD #05-10,Resale,Strata,41,"18,537",Office,99 yrs from 01/12/1974,07,18,188307,Central Region,Rochor
PAYA LEBAR SQUARE,"1,139,800",538.2,"2,118",18 Oct 2022,60 PAYA LEBAR ROAD #06-49,Resale,Strata,50,"22,796",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
WOODS SQUARE,"2,250,888","1,130.22","1,992",18 Oct 2022,12 WOODLANDS SQUARE #07-80,Resale,Strata,105,"21,437",Office,99 yrs from 15/07/2014,25,73,737715,North Region,Woodlands
WOODS SQUARE,"12,888,976","6,458.4","1,996",18 Oct 2022,"10 WOODLANDS SQUARE #03-41,51,56 ETC",Resale,Strata,600,"21,482",Office,99 yrs from 15/07/2014,25,73,737714,North Region,Woodlands
SOUTHPOINT,"15,517,742","5,145.19","3,016",18 Oct 2022,200 CANTONMENT ROAD #11-01,Resale,Strata,478,"32,464",Office,Freehold,02,08,089763,Central Region,Bukit Merah
PLUS,"7,300,000","2,335.79","3,125",19 Oct 2022,"20 CECIL STREET #07-04,05",Resale,Strata,217,"33,641",Office,99 yrs from 07/12/1989,01,04,049705,Central Region,Downtown Core
THE CENTRAL,"2,389,080",925.7,"2,581",19 Oct 2022,8 EU TONG SEN STREET #17-84,Resale,Strata,86,"27,780",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
TEXTILE CENTRE,"1,020,000",871.88,"1,170",19 Oct 2022,200 JALAN SULTAN #03-09,Resale,Strata,81,"12,593",Office,99 yrs from 02/06/1970,07,19,199018,Central Region,Kallang
WOODS SQUARE,"2,097,816","1,033.34","2,030",19 Oct 2022,12 WOODLANDS SQUARE #08-78,Resale,Strata,96,"21,852",Office,99 yrs from 15/07/2014,25,73,737715,North Region,Woodlands
