Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
THE GOLDEN LANDMARK,"750,000",355.21,"2,111",21 Dec 2018,390 VICTORIA STREET #03-04,Resale,Strata,33,"22,727",Office,99 yrs from 30/04/1981,07,18,188061,Central Region,Rochor
HIGH STREET CENTRE,"960,750",548.96,"1,750",21 Dec 2018,1 NORTH BRIDGE ROAD #18-03,Resale,Strata,51,"18,838",Office,99 yrs from 02/06/1969,06,17,179094,Central Region,Downtown Core
SULTAN PLAZA,"738,416",527.44,"1,400",21 Dec 2018,100 JALAN SULTAN #02-44,Resale,Strata,49,"15,070",Office,99 yrs from 02/05/1978,07,19,199001,Central Region,Kallang
PAYA LEBAR SQUARE,"1,000,000",505.91,"1,977",21 Dec 2018,60 PAYA LEBAR ROAD #12-40,Resale,Strata,47,"21,277",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
THE CENTRAL,"2,869,750",882.65,"3,251",26 Dec 2018,8 EU TONG SEN STREET #18-92,Resale,Strata,82,"34,997",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
THE PLAZA,"362,000",312.16,"1,160",27 Dec 2018,7500A BEACH ROAD #04-310,Resale,Strata,29,"12,483",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Kallang
N.A.,"3,300,000","1,603.84","2,058",27 Dec 2018,36 ARMENIAN STREET #04-02,Resale,Strata,149,"22,148",Office,99 yrs from 21/09/2007,06,17,179934,Central Region,Museum
PAYA LEBAR SQUARE,"1,550,000",721.19,"2,149",03 Jan 2019,60 PAYA LEBAR ROAD #05-07,Resale,Strata,67,"23,134",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
INTERNATIONAL PLAZA,"940,000",473.62,"1,985",09 Jan 2019,10 ANSON ROAD #20-04A,Resale,Strata,44,"21,364",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
THE OCTAGON,"45,489,150","18,567.9","2,450",10 Jan 2019,"105 CECIL STREET #14-01,02,03,04 ETC",Resale,Strata,"1,725","26,371",Office,Freehold,01,06,069534,Central Region,Downtown Core
PARKLANE SHOPPING MALL,"813,020",688.9,"1,180",14 Jan 2019,35 SELEGIE ROAD #10-06,Resale,Strata,64,"12,703",Office,99 yrs from 01/12/1974,07,18,188307,Central Region,Rochor
TONG ENG BUILDING,"3,190,200","1,227.1","2,600",14 Jan 2019,101 CECIL STREET #16-12,Resale,Strata,114,"27,984",Office,999 yrs from 08/06/1885,01,06,069533,Central Region,Downtown Core
TONG ENG BUILDING,"1,155,000",462.85,"2,495",15 Jan 2019,101 CECIL STREET #13-04,Resale,Strata,43,"26,860",Office,999 yrs from 08/06/1885,01,06,069533,Central Region,Downtown Core
INTERNATIONAL PLAZA,"998,000",462.85,"2,156",17 Jan 2019,10 ANSON ROAD #18-10,Resale,Strata,43,"23,209",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
N.A.,"11,000,000","10,360.35","1,062",25 Jan 2019,"45,45A MACPHERSON ROAD",Resale,Land,962.5,"11,429",Office,99 yrs from 01/11/1983,13,34,348469,Central Region,Toa Payoh
HIGH STREET PLAZA,"895,000",398.27,"2,247",30 Jan 2019,77 HIGH STREET #04-12,Resale,Strata,37,"24,189",Office,999 yrs from 11/06/1827,06,17,179433,Central Region,Downtown Core
PAYA LEBAR SQUARE,"1,674,240",871.88,"1,920",30 Jan 2019,60 PAYA LEBAR ROAD #11-27,Resale,Strata,81,"20,670",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
BURLINGTON SQUARE,"990,000",581.26,"1,703",01 Feb 2019,175A BENCOOLEN STREET #07-01,Resale,Strata,54,"18,333",Office,99 yrs from 10/06/1996,07,18,189650,Central Region,Rochor
THE CENTRAL,"2,850,000","1,216.33","2,343",01 Feb 2019,8 EU TONG SEN STREET #16-81,Resale,Strata,113,"25,221",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
THE CENTRAL,"1,480,000",613.55,"2,412",07 Feb 2019,6 EU TONG SEN STREET #12-05,Resale,Strata,57,"25,965",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
PARKLANE SHOPPING MALL,"480,000",452.09,"1,062",08 Feb 2019,35 SELEGIE ROAD #10-23,Resale,Strata,42,"11,429",Office,99 yrs from 01/12/1974,07,18,188307,Central Region,Rochor
THE CENTRAL,"2,028,888",925.7,"2,192",08 Feb 2019,8 EU TONG SEN STREET #22-84,Resale,Strata,86,"23,592",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
CHINATOWN POINT,"4,458,407","2,346.55","1,900",11 Feb 2019,"133 NEW BRIDGE ROAD #25-01,02",Resale,Strata,218,"20,451",Office,99 yrs from 12/11/1980,01,05,059413,Central Region,Outram
THE PLAZA,"1,429,000","1,313.21","1,088",12 Feb 2019,7500A BEACH ROAD #15-301,Resale,Strata,122,"11,713",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Kallang
TONG ENG BUILDING,"1,560,000",602.78,"2,588",13 Feb 2019,101 CECIL STREET #16-06,Resale,Strata,56,"27,857",Office,999 yrs from 08/06/1885,01,06,069533,Central Region,Downtown Core
WOODS SQUARE,"1,981,900","1,033.34","1,918",14 Feb 2019,10 WOODLANDS SQUARE #04-41,New Sale,Strata,96,"20,645",Office,99 yrs from 15/07/2014,25,73,737714,North Region,Woodlands
PAYA LEBAR SQUARE,"1,134,888",548.96,"2,067",14 Feb 2019,60 PAYA LEBAR ROAD #08-11,Resale,Strata,51,"22,253",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
CONCORDE SHOPPING CENTRE,"312,000",215.28,"1,449",15 Feb 2019,317 OUTRAM ROAD #02-52,Resale,Strata,20,"15,600",Office,99 yrs from 16/06/1980,03,16,169075,Central Region,Bukit Merah
HIGH STREET PLAZA,"1,151,920",484.38,"2,378",18 Feb 2019,77 HIGH STREET #05-10,Resale,Strata,45,"25,598",Office,999 yrs from 11/06/1827,06,17,179433,Central Region,Downtown Core
ORCHARD PLAZA,"350,000",226.04,"1,548",21 Feb 2019,150 ORCHARD ROAD #07-10,Resale,Strata,21,"16,667",Office,99 yrs from 02/06/1977,09,23,238841,Central Region,Orchard
INTERNATIONAL PLAZA,"960,000",462.85,"2,074",21 Feb 2019,10 ANSON ROAD #15-14,Resale,Strata,43,"22,326",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
SUNTEC TOWER TWO,"8,000,000","3,509.06","2,280",22 Feb 2019,9 TEMASEK BOULEVARD #15-02A,Resale,Strata,326,"24,540",Office,99 yrs from 01/03/1989,01,03,038989,Central Region,Downtown Core
THE CENTRAL,"5,120,000","1,765.3","2,900",22 Feb 2019,"8 EU TONG SEN STREET #11-91,92",Resale,Strata,164,"31,220",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
THE PLAZA,"1,100,000",882.65,"1,246",25 Feb 2019,"7500A BEACH ROAD #08-311,312",Resale,Strata,82,"13,415",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Kallang
THE CENTRAL,"2,869,750",882.65,"3,251",27 Feb 2019,8 EU TONG SEN STREET #18-93,Resale,Strata,82,"34,997",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
MANHATTAN HOUSE,"780,000",613.55,"1,271",27 Feb 2019,151 CHIN SWEE ROAD #02-23,Resale,Strata,57,"13,684",Office,99 yrs from 15/10/1969,03,16,169876,Central Region,Outram
TEXTILE CENTRE,"848,000",882.65,961,04 Mar 2019,200 JALAN SULTAN #11-06,Resale,Strata,82,"10,341",Office,99 yrs from 02/06/1970,07,19,199018,Central Region,Kallang
