Project Name,block_address,query_used,lat,lon,matched_address
KEPPEL TOWERS/GE TOWER,"10,240(ENBLOC) HOE CHIANG ROAD/TANJONG PAGAR ROAD",10 HOE CHIANG ROAD,1.27440248919531,103.842238244254,10 HOE CHIANG ROAD KEPPEL SOUTH CENTRAL SINGAPORE 089315
SIGLAP V,2 FIRST STREET,2 FIRST STREET,1.31284706410149,103.923788580901,2 FIRST STREET SIGLAP V SINGAPORE 458278
SAN CENTRE,171 CHIN SWEE ROAD,171 CHIN SWEE ROAD,1.28674603317591,103.840214782123,171 CHIN SWEE ROAD CES CENTRE SINGAPORE 169877
BALMORAL PLAZA,271 BUKIT TIMAH ROAD,271 BUKIT TIMAH ROAD,1.31643963008359,103.835487584433,271 BUKIT TIMAH ROAD BALMORAL PLAZA SINGAPORE 259708
ICB SHOPPING CENTRE,8J YIO CHU KANG ROAD,8J YIO CHU KANG ROAD,1.35458411311499,103.877789977988,8J YIO CHU KANG ROAD ICB SHOPPING CENTRE SINGAPORE 545522
CHENN LEONN BUILDING,3A ALIWAL STREET,3A ALIWAL STREET,1.30169545313698,103.861226008861,3A ALIWAL STREET CHENN LEONN BUILDING SINGAPORE 199896
CHENN LEONN BUILDING,5A ALIWAL STREET,5A ALIWAL STREET,1.30174248542109,103.861198234549,5A ALIWAL STREET CHENN LEONN BUILDING SINGAPORE 199898
GUILIN BUILDING,8 LORONG 27A GEYLANG,8 LORONG 27A GEYLANG,1.31440432579374,103.885000848434,8 LORONG 27A GEYLANG GUILIN BUILDING SINGAPORE 388106
FAR EAST FINANCE BUILDING,14 ROBINSON ROAD,14 ROBINSON ROAD,1.2821417096259,103.85075483266,14 ROBINSON ROAD FAR EAST FINANCE BUILDING SINGAPORE 048545
KATONG SHOPPING CENTRE,865 MOUNTBATTEN ROAD,865 MOUNTBATTEN ROAD,1.30381323460706,103.900952077233,865 MOUNTBATTEN ROAD CHAMPZ SCHOOL HOUSE PTE. LTD. SINGAPORE 437844
BRIGHT CENTRE,55 LORONG L TELOK KURAU,55 LORONG L TELOK KURAU,1.3118205086709,103.910557235164,55 LORONG L TELOK KURAU BRIGHT CENTRE SINGAPORE 425500
