quarter,industry1,industry2,industry3,employment_change,,,,,,
1994-Q1,construction,construction,construction,0.8,,,,,,
1994-Q1,services,wholesale and retail trade,wholesale trade,1.6,,,,,,
1994-Q1,services,wholesale and retail trade,retail trade,0.2,,,,,,
1994-Q1,services,"transport, storage and communications","transport, storage and communications",0.2,,,,,,
1994-Q1,services,financial services,financial institutions,2,,,,,,
1994-Q1,services,financial services,insurance,0.1,,,,,,
1994-Q1,services,business and real estate services,business and real estate services,1.7,,,,,,
1994-Q1,services,"community, social and personal services",public administration,n.a.,,,,,,
1994-Q1,services,"community, social and personal services",education,n.a.,,,,,,
1994-Q1,services,"community, social and personal services",health and social work,-0.9,,,,,,
1994-Q1,services,"community, social and personal services","other community, social and personal services",3.4,,,,,,
1994-Q1,others,others,others,-0.5,,,,,,
1994-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.2,,,,,,
1994-Q2,manufacturing,textile and wearing apparel,textile and wearing apparel,-1,,,,,,
1994-Q2,manufacturing,paper products and publishing,paper products and publishing,0.2,,,,,,
1994-Q2,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.4,,,,,,
1994-Q2,manufacturing,fabricated metal products,fabricated metal products,0.8,,,,,,
1994-Q2,manufacturing,machinery and equipment,machinery and equipment,0.4,,,,,,
1994-Q2,manufacturing,electrical products,electrical products,0.2,,,,,,
1994-Q2,manufacturing,electronic products,electronic products,3.1,,,,,,
1994-Q2,manufacturing,medical and precision instruments,medical and precision instruments,-0.3,,,,,,
1994-Q2,manufacturing,transport equipment,transport equipment,2.8,,,,,,
1994-Q2,manufacturing,other manufacturing industries,other manufacturing industries,-0.1,,,,,,
1994-Q2,construction,construction,construction,2.3,,,,,,
1994-Q2,services,wholesale and retail trade,wholesale trade,2.7,,,,,,
1994-Q2,services,wholesale and retail trade,retail trade,-0.7,,,,,,
1994-Q2,services,"transport, storage and communications","transport, storage and communications",1.5,,,,,,
1994-Q2,services,financial services,financial institutions,1,,,,,,
1994-Q2,services,financial services,insurance,0.2,,,,,,
1994-Q2,services,business and real estate services,business and real estate services,4.8,,,,,,
1994-Q2,services,"community, social and personal services",public administration,n.a.,,,,,,
1994-Q2,services,"community, social and personal services",education,n.a.,,,,,,
1994-Q2,services,"community, social and personal services",health and social work,1.7,,,,,,
1994-Q2,services,"community, social and personal services","other community, social and personal services",3.4,,,,,,
1994-Q2,others,others,others,0.2,,,,,,
1994-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-,,,,,,
1994-Q3,manufacturing,textile and wearing apparel,textile and wearing apparel,-1.3,,,,,,
1994-Q3,manufacturing,paper products and publishing,paper products and publishing,-0.1,,,,,,
1994-Q3,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.4,,,,,,
1994-Q3,manufacturing,fabricated metal products,fabricated metal products,0.2,,,,,,
1994-Q3,manufacturing,machinery and equipment,machinery and equipment,0.4,,,,,,
1994-Q3,manufacturing,electrical products,electrical products,-0.8,,,,,,
1994-Q3,manufacturing,electronic products,electronic products,0.3,,,,,,
1994-Q3,manufacturing,medical and precision instruments,medical and precision instruments,-0.1,,,,,,
1994-Q3,manufacturing,transport equipment,transport equipment,1.5,,,,,,
1994-Q3,manufacturing,other manufacturing industries,other manufacturing industries,-,,,,,,
1994-Q3,construction,construction,construction,4.7,,,,,,
1994-Q3,services,wholesale and retail trade,wholesale trade,1.7,,,,,,
