quarter,industry1,industry2,industry3,employment_change,,,,,,
1995-Q1,services,"transport, storage and communications","transport, storage and communications",1.3,,,,,,
1995-Q1,services,financial services,financial institutions,1.4,,,,,,
1995-Q1,services,financial services,insurance,0.2,,,,,,
1995-Q1,services,business and real estate services,business and real estate services,2.7,,,,,,
1995-Q1,services,"community, social and personal services",public administration,n.a.,,,,,,
1995-Q1,services,"community, social and personal services",education,n.a.,,,,,,
1995-Q1,services,"community, social and personal services",health and social work,0.1,,,,,,
1995-Q1,services,"community, social and personal services","other community, social and personal services",0.4,,,,,,
1995-Q1,others,others,others,-0.1,,,,,,
1995-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-,,,,,,
1995-Q2,manufacturing,textile and wearing apparel,textile and wearing apparel,-1.4,,,,,,
1995-Q2,manufacturing,paper products and publishing,paper products and publishing,-0.1,,,,,,
1995-Q2,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.1,,,,,,
1995-Q2,manufacturing,fabricated metal products,fabricated metal products,0.3,,,,,,
1995-Q2,manufacturing,machinery and equipment,machinery and equipment,0.8,,,,,,
1995-Q2,manufacturing,electrical products,electrical products,-0.2,,,,,,
1995-Q2,manufacturing,electronic products,electronic products,1.8,,,,,,
1995-Q2,manufacturing,medical and precision instruments,medical and precision instruments,-0.1,,,,,,
1995-Q2,manufacturing,transport equipment,transport equipment,2,,,,,,
1995-Q2,manufacturing,other manufacturing industries,other manufacturing industries,0.9,,,,,,
1995-Q2,construction,construction,construction,7.2,,,,,,
1995-Q2,services,wholesale and retail trade,wholesale trade,3,,,,,,
1995-Q2,services,wholesale and retail trade,retail trade,-0.1,,,,,,
1995-Q2,services,"transport, storage and communications","transport, storage and communications",2.7,,,,,,
1995-Q2,services,financial services,financial institutions,1.4,,,,,,
1995-Q2,services,financial services,insurance,0.4,,,,,,
1995-Q2,services,business and real estate services,business and real estate services,5,,,,,,
1995-Q2,services,"community, social and personal services",public administration,n.a.,,,,,,
1995-Q2,services,"community, social and personal services",education,n.a.,,,,,,
1995-Q2,services,"community, social and personal services",health and social work,1.1,,,,,,
1995-Q2,services,"community, social and personal services","other community, social and personal services",0.6,,,,,,
1995-Q2,others,others,others,0.2,,,,,,
1995-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-0.5,,,,,,
1995-Q3,manufacturing,textile and wearing apparel,textile and wearing apparel,-1.9,,,,,,
1995-Q3,manufacturing,paper products and publishing,paper products and publishing,-0.4,,,,,,
1995-Q3,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.1,,,,,,
1995-Q3,manufacturing,fabricated metal products,fabricated metal products,-0.1,,,,,,
1995-Q3,manufacturing,machinery and equipment,machinery and equipment,0.4,,,,,,
1995-Q3,manufacturing,electrical products,electrical products,-0.1,,,,,,
1995-Q3,manufacturing,electronic products,electronic products,0.3,,,,,,
1995-Q3,manufacturing,medical and precision instruments,medical and precision instruments,-0.1,,,,,,
1995-Q3,manufacturing,transport equipment,transport equipment,1,,,,,,
1995-Q3,manufacturing,other manufacturing industries,other manufacturing industries,0.3,,,,,,
1995-Q3,construction,construction,construction,12.4,,,,,,
1995-Q3,services,wholesale and retail trade,wholesale trade,1.1,,,,,,
1995-Q3,services,wholesale and retail trade,retail trade,-1.4,,,,,,
1995-Q3,services,"transport, storage and communications","transport, storage and communications",3,,,,,,
1995-Q3,services,financial services,financial institutions,0.3,,,,,,
1995-Q3,services,financial services,insurance,-,,,,,,
1995-Q3,services,business and real estate services,business and real estate services,1.7,,,,,,
1995-Q3,services,"community, social and personal services",public administration,n.a.,,,,,,
1995-Q3,services,"community, social and personal services",education,n.a.,,,,,,
1995-Q3,services,"community, social and personal services",health and social work,0.5,,,,,,
1995-Q3,services,"community, social and personal services","other community, social and personal services",3.3,,,,,,
1995-Q3,others,others,others,-0.3,,,,,,
1995-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.6,,,,,,
1995-Q4,manufacturing,textile and wearing apparel,textile and wearing apparel,-0.8,,,,,,
1995-Q4,manufacturing,paper products and publishing,paper products and publishing,0.1,,,,,,
1995-Q4,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.3,,,,,,
1995-Q4,manufacturing,fabricated metal products,fabricated metal products,0.1,,,,,,
1995-Q4,manufacturing,machinery and equipment,machinery and equipment,-,,,,,,
1995-Q4,manufacturing,electrical products,electrical products,0.2,,,,,,
1995-Q4,manufacturing,electronic products,electronic products,2.4,,,,,,
1995-Q4,manufacturing,medical and precision instruments,medical and precision instruments,0.1,,,,,,
1995-Q4,manufacturing,transport equipment,transport equipment,-1.5,,,,,,
1995-Q4,manufacturing,other manufacturing industries,other manufacturing industries,0.7,,,,,,
1995-Q4,construction,construction,construction,18.4,,,,,,
1995-Q4,services,wholesale and retail trade,wholesale trade,3.8,,,,,,
1995-Q4,services,wholesale and retail trade,retail trade,3.5,,,,,,
1995-Q4,services,"transport, storage and communications","transport, storage and communications",2.3,,,,,,
1995-Q4,services,financial services,financial institutions,0.9,,,,,,
1995-Q4,services,financial services,insurance,0.2,,,,,,
1995-Q4,services,business and real estate services,business and real estate services,3.8,,,,,,
1995-Q4,services,"community, social and personal services",public administration,n.a.,,,,,,
1995-Q4,services,"community, social and personal services",education,n.a.,,,,,,
1995-Q4,services,"community, social and personal services",health and social work,1,,,,,,
1995-Q4,services,"community, social and personal services","other community, social and personal services",4.5,,,,,,
1995-Q4,others,others,others,-0.6,,,,,,
1996-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-0.1,,,,,,
1996-Q1,manufacturing,textile and wearing apparel,textile and wearing apparel,-1,,,,,,
1996-Q1,manufacturing,paper products and publishing,paper products and publishing,-0.1,,,,,,
1996-Q1,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.6,,,,,,
1996-Q1,manufacturing,fabricated metal products,fabricated metal products,0.3,,,,,,
1996-Q1,manufacturing,machinery and equipment,machinery and equipment,0.3,,,,,,
1996-Q1,manufacturing,electrical products,electrical products,0.2,,,,,,
1996-Q1,manufacturing,electronic products,electronic products,-0.3,,,,,,
1996-Q1,manufacturing,medical and precision instruments,medical and precision instruments,0.1,,,,,,
1996-Q1,manufacturing,transport equipment,transport equipment,0.9,,,,,,
1996-Q1,manufacturing,other manufacturing industries,other manufacturing industries,0.3,,,,,,
1996-Q1,construction,construction,construction,12,,,,,,
1996-Q1,services,wholesale and retail trade,wholesale trade,-0.2,,,,,,
1996-Q1,services,wholesale and retail trade,retail trade,-0.3,,,,,,
1996-Q1,services,"transport, storage and communications","transport, storage and communications",0.4,,,,,,
1996-Q1,services,financial services,financial institutions,1,,,,,,
1996-Q1,services,financial services,insurance,0.1,,,,,,
1996-Q1,services,business and real estate services,business and real estate services,2.2,,,,,,
1996-Q1,services,"community, social and personal services",public administration,n.a.,,,,,,
1996-Q1,services,"community, social and personal services",education,n.a.,,,,,,
1996-Q1,services,"community, social and personal services",health and social work,0.4,,,,,,
1996-Q1,services,"community, social and personal services","other community, social and personal services",2.2,,,,,,
1996-Q1,others,others,others,1.2,,,,,,
1996-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-0.2,,,,,,
1996-Q2,manufacturing,textile and wearing apparel,textile and wearing apparel,-1.7,,,,,,
1996-Q2,manufacturing,paper products and publishing,paper products and publishing,-0.1,,,,,,
1996-Q2,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.1,,,,,,
1996-Q2,manufacturing,fabricated metal products,fabricated metal products,-0.2,,,,,,
1996-Q2,manufacturing,machinery and equipment,machinery and equipment,0.4,,,,,,
1996-Q2,manufacturing,electrical products,electrical products,-0.4,,,,,,
1996-Q2,manufacturing,electronic products,electronic products,-2.3,,,,,,
1996-Q2,manufacturing,medical and precision instruments,medical and precision instruments,0.1,,,,,,
1996-Q2,manufacturing,transport equipment,transport equipment,-0.7,,,,,,
1996-Q2,manufacturing,other manufacturing industries,other manufacturing industries,0.3,,,,,,
1996-Q2,construction,construction,construction,12.5,,,,,,
1996-Q2,services,wholesale and retail trade,wholesale trade,2.5,,,,,,
1996-Q2,services,wholesale and retail trade,retail trade,-1.4,,,,,,
1996-Q2,services,"transport, storage and communications","transport, storage and communications",1.9,,,,,,
1996-Q2,services,financial services,financial institutions,1.2,,,,,,
1996-Q2,services,financial services,insurance,0.2,,,,,,
1996-Q2,services,business and real estate services,business and real estate services,6.5,,,,,,
1996-Q2,services,"community, social and personal services",public administration,n.a.,,,,,,
1996-Q2,services,"community, social and personal services",education,n.a.,,,,,,
1996-Q2,services,"community, social and personal services",health and social work,1.2,,,,,,
1996-Q2,services,"community, social and personal services","other community, social and personal services",2.1,,,,,,
1996-Q2,others,others,others,-0.8,,,,,,
1996-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.1,,,,,,
1996-Q3,manufacturing,textile and wearing apparel,textile and wearing apparel,-0.9,,,,,,
1996-Q3,manufacturing,paper products and publishing,paper products and publishing,-0.3,,,,,,
1996-Q3,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",-,,,,,,
1996-Q3,manufacturing,fabricated metal products,fabricated metal products,-,,,,,,
1996-Q3,manufacturing,machinery and equipment,machinery and equipment,-0.3,,,,,,
1996-Q3,manufacturing,electrical products,electrical products,-0.4,,,,,,
1996-Q3,manufacturing,electronic products,electronic products,-1.4,,,,,,
1996-Q3,manufacturing,medical and precision instruments,medical and precision instruments,-0.5,,,,,,
1996-Q3,manufacturing,transport equipment,transport equipment,-0.3,,,,,,
1996-Q3,manufacturing,other manufacturing industries,other manufacturing industries,0.7,,,,,,
1996-Q3,construction,construction,construction,12.6,,,,,,
1996-Q3,services,wholesale and retail trade,wholesale trade,1.9,,,,,,
1996-Q3,services,wholesale and retail trade,retail trade,-1,,,,,,
1996-Q3,services,"transport, storage and communications","transport, storage and communications",1.8,,,,,,
1996-Q3,services,financial services,financial institutions,0.8,,,,,,
1996-Q3,services,financial services,insurance,0.1,,,,,,
1996-Q3,services,business and real estate services,business and real estate services,1.7,,,,,,
1996-Q3,services,"community, social and personal services",public administration,n.a.,,,,,,
1996-Q3,services,"community, social and personal services",education,n.a.,,,,,,
1996-Q3,services,"community, social and personal services",health and social work,0.9,,,,,,
1996-Q3,services,"community, social and personal services","other community, social and personal services",4.9,,,,,,
1996-Q3,others,others,others,0.5,,,,,,
1996-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.5,,,,,,
1996-Q4,manufacturing,textile and wearing apparel,textile and wearing apparel,-0.5,,,,,,
1996-Q4,manufacturing,paper products and publishing,paper products and publishing,0.2,,,,,,
